from,to,year,relationship,sector,channel,Vermerk,
jh,GNTM,2008,candidate,tvshow,Pro7,,
jh,SonyErricson,2008,contract,advertisement,,Job während GNTM,
jh,TalbotRunhof,2008,contract,modeling,,Job während GNTM,
jh,Castro,2008,contract,modeling,,Job während GNTM,
jh,MelbourneFashionWeek,2008,contract,modeling,,Job während GNTM,
jh,IMGModels,2008,contract,modeling,,,
jh,IMGModels,2009,contract,modeling,,,
jh,IMGModels,2010,contract,modeling,,,
jh,JennyK.L.,2008,founder,fashion,,,
jh,C&A,2008,contract,modeling,,,
jh,PhilippPlein,,contract,modeling,,,
jh,MarcelOstertag,,contract,modeling,,,
jh,PerretSchaad,,contract,modeling,,,
jh,AusbildungzurSteuerfachangestellten,2014,job,private,,privat,
jds,GNTM,2008,candidate,tvshow,Pro7,,
jds,Volkswagen,,contract,modeling,,,
jds,ElleMacPherson ,,contract,modeling,,,
jds,NintendoDS,,contract,modeling,,,
jds,SeverinHairCare,,contract,modeling,,,
jds,Rock&Republic,,contract,modeling,,,
jds,Otto,,contract,modeling,,,
jds,C&A,,ambassador,modeling,,,
jds,DickeLiebe,2008,actor,movie,,,
jds,Germany's Next Topmodel - das offizielle Spiel zur neuen Staffel 2009,2009,host,video game,,,
jds,Modelbooking,,job,private,,privat,
jds,Celiaczerlisnki,,contract,modelling,,,
cl,GNTM,2008,candidate,tvshow,Pro7,,
cl,Gilette,2008,contract,advertisement,,Job während GNTM,
cl,Medienmanagement-Studium,2008,job,private,,privat,https://www.mainpost.de/neuesarchiv/christina-aus-fahr-modeln-allein-fuellt-sie-nicht-aus-art-5082160
le,GNTM,2013,candidate,tvshow,Pro7,,
le,ONEeins,2013,contract,agency,,,
le,PMA ,,contract,agency,,,
le,Abitur,,job,private,,,
le,AnnetteGoertz,,contract,modeling,,,
le,Breuninger,,contract,modeling,,,
le,TinaMyake,,contract,modeling,,,
le,DanielFranziskus,,love,relationship,,,
le,Ausbildung,,job,private,,,
le,BonPrix,,contract,modeling,,,
le,MietenKaufenWohnen,,candidate,tvshow,Vox,,
mvg,GNTM,2013,candidate,tvshow,Pro7,,
mvg,ONEeins,,contract,contract,,,
mvg,ThomasRath,,contract,modeling,,,
mvg,HUFMagazine,,contract,modeling,,,
mvg,CampDavid,,contract,modeling,,,
lw,GNTM,2013,candidate,tvshow,Pro7,,
lw,MaybellineJade,2013,contract,modeling,,Job während GNTM,
lw,Gilette,2013,contract,modeling,,Job während GNTM,
lw,BerlinerFashionWeek,2013,contract,modeling,,,
lw,Krankenschwester,,job,private,,,
tda,GNTM,2018,candidate,tvshow,Pro7,,
tda,PoetrySlam,,candidate,private,,,
tda,Jugend-Gottesdienst,,job,private,,,
tda,ONEeins,,contract,modeling,,,
tda,LikeILoveYou,2020,actor,music video,,,
tda,AnWunder,2018,actor,music video,,,
tda,DanielWellington,,contract,modeling,,,
tda,AboutYou,,contract,modeling,,,
tda,Zalando,,contract,modeling,,,
tda,BerlinerFashionWeek,2019,contract,modeling,,,
tda,LambertzMondayNight,2020,contract,modeling,,,
tda,StudiuminMedien-undKommunikationsmanagement,,job,private,,,
tda,GNTM,2019,jury,tvshow,,,
jt,GNTM,2018,candidate,tvshow,Pro7,,
jt,Saengerin,,music,music,,,
jt,BerlinerFashionWeek,2019,contract,modeling,,,
pr,ONEeins,,contract,modeling,,,
le,Instagram,,influencer,social media,,,
tda,Instagram,,influencer,social media,,,
jt,Instagram,,influencer,social media,,,
pr,Instagram,,influencer,social media,,,
tda,TikTok,,influencer,social media,,,
