from,to,year,relationship,sector,channel,Vermerk,
jh,GNTM,2008,candidate,tvshow,Pro7,,
jh,SonyErricson,2008,contract,advertisement,,Job während GNTM,
jh,TalbotRunhof,2008,contract,modeling,,Job während GNTM,
jh,Castro,2008,contract,modeling,,Job während GNTM,
jh,MelbourneFashionWeek,2008,contract,modeling,,Job während GNTM,
jh,IMGModels,2008,contract,modeling,,,
jh,IMGModels,2009,contract,modeling,,,
jh,IMGModels,2010,contract,modeling,,,
jh,JennyK.L.,2008,founder,fashion,,,
jh,C&A,2008,contract,modeling,,,
jh,PhilippPlein,,contract,modeling,,,
jh,MarcelOstertag,,contract,modeling,,,
jh,PerretSchaad,,contract,modeling,,,
jh,AusbildungzurSteuerfachangestellten,2014,job,,,privat,
jds,GNTM,2008,candidate,tvshow,Pro7,,
jds,Volkswagen,,contract,modeling,,,
jds,ElleMacPherson ,,contract,modeling,,,
jds,NintendoDS,,contract,modeling,,,
jds,SeverinHairCare,,contract,modeling,,,
jds,Rock&Republic,,contract,modeling,,,
jds,Otto,,contract,modeling,,,
jds,C&A,,ambassador,modeling,,,
jds,DickeLiebe,2008,actor,movie,,,
jds,Germany's Next Topmodel - das offizielle Spiel zur neuen Staffel 2009,2009,host,,,,
jds,Modelbooking,,job,,,privat,
jds,Celiaczerlisnki,,contract,modelling,,,
cl,GNTM,2008,candidate,tvshow,Pro7,,
cl,Gilette,2008,contract,advertisement,,Job während GNTM,
cl,Medienmanagement-Studium,2008,job,,,privat,https://www.mainpost.de/neuesarchiv/christina-aus-fahr-modeln-allein-fuellt-sie-nicht-aus-art-5082160
le,GNTM,2013,candidate,tvshow,Pro7,,
le,ONEeins,2013,contract,,,,
le,PMA ,,contract,,,,
le,Abitur,,job,,,,
le,AnnetteGoertz,,contract,modeling,,,
le,Breuninger,,contract,modeling,,,
le,TinaMyake,,contract,modeling,,,
le,DanielFranziskus,,love,,,,
le,Ausbildung,,job,,,,
le,BonPrix,,contract,modeling,,,
le,MietenKaufenWohnen,,candidate,tvshow,Vox,,
mvg,GNTM,2013,candidate,tvshow,Pro7,,
mvg,ONEeins,,contract,,,,
mvg,ThomasRath,,contract,,,,
mvg,HUFMagazine,,contract,,,,
mvg,CampDavid,,contract,,,,
lw,GNTM,2013,candidate,tvshow,Pro7,,
lw,MaybellineJade,2013,contract,,,Job während GNTM,
lw,Gilette,2013,contract,,,Job während GNTM,
lw,BerlinerFashionWeek,2013,contract,,,,
lw,Krankenschwester,,job,,,,
tda,GNTM,2018,candidate,tvshow,Pro7,,
tda,PoetrySlam,,candidate,,,,
tda,Jugend-Gottesdienst,,job,,,,
tda,ONEeins,,contract,modeling,,,
tda,LikeILoveYou,2020,actor,music video,,,
tda,AnWunder,2018,actor,music video,,,
tda,DanielWellington,,contract,modeling,,,
tda,AboutYou,,contract,modeling,,,
tda,Zalando,,contract,modeling,,,
tda,BerlinerFashionWeek,2019,contract,modeling,,,
tda,LambertzMondayNight,2020,contract,modeling,,,
tda,StudiuminMedien-undKommunikationsmanagement,,job,,,,
tda,GNTM,2019,jury,tvshow,,,
jt,GNTM,2018,candidate,tvshow,Pro7,,
jt,Saengerin,,,,,,
jt,BerlinerFashionWeek,2019,contract,modeling,,,
pr,ONEeins,,contract,modeling,,,
